part_id,mode_survey,group_yn,group_n,include_all_contacts,num_left_out,group_age0,group_age6,group_age12,group_age19,group_age60,group_age,group_cont
2010307,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2010308,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2010309,T,0,0,0,10,0,0,0,0,0,No Group Cont,No Group Cont
2010310,T,1,25,0,3,0,0,0,1,0,age20-60,Group Cont
2010311,T,0,0,0,3,0,0,0,0,0,No Group Cont,No Group Cont
2010312,T,1,60,0,20,0,0,0,1,0,age20-60,Group Cont
2010313,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2010314,T,0,0,0,10,0,0,0,0,0,No Group Cont,No Group Cont
2010315,T,1,33,0,14,0,1,0,0,0,age6-12,Group Cont
2010316,T,0,0,NA,NA,0,0,0,0,0,No Group Cont,No Group Cont
2010317,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2010318,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2010319,T,1,20,0,20,1,1,1,1,1,age0-6,Group Cont
2010320,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2010321,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2010322,T,0,0,0,NA,0,0,0,0,0,No Group Cont,No Group Cont
2010323,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
